moeB	EG10154
yhaL	G7621
modA	EG12427
yqfA	G7512
mobA	EG11829
ygcE	G7442
moaD	EG11597
yfeZ	G7268
lipA	EG11306
yegV	G7132
lipB	EG11591
yeaY	G6990
lplA	EG11796
ydhV	G6901
folD	EG10328
yncG	G6765
folB	EG11673
ychS	G6631
folK	EG11374
yccS	G6495
pabA	EG10682
yaiY	G6228
folA	EG10326
yaeR	G6095
folP	EG50011
ysaE	G0-17039
folE	EG11375
ydcA	EG11219
pabB	EG10683
mdtU	G0-17023
folC	EG10327
apaG	EG10047
folM	G6862
yqfH	G0-16747
pabC	EG11493
ybgU	G0-16730
nudB	EG11138
yqeL	G0-10650
entH	EG11105
appX	G0-10588
entD	EG10262
ycjF	EG12870
entA	EG10259
yadL	EG12326
entE	EG10263
yggI	EG12122
entB	EG10260
yjfC	EG11812
entF	EG10264
yjiG	G7926
entC	EG10261
ybfC	EG11523
btuC	EG10127
yhfU	G7730
cobT	EG12151
yqiJ	G7588
btuD	EG10128
ygeY	G7491
cobU	EG13238
ygcO	G7433
btuR	EG10130
yfdY	G7240
cobC	G6349
yegJ	G7110
cobS	EG12150
ydjL	G6963
ccmA	EG12059
ydhS	G6896
hemE	EG11543
insQ	G6743
hemH	EG10431
ycgJ	G6614
hemB	EG10428
ybjP	G6450
cysG	EG10188
yahJ	G6189
hemF	EG12189
dinQ	G0-9981
yicL	EG11688
yhiY	G0-17036
hemL	EG10432
ppdC	EG11154
hemC	EG10429
yncP	G0-17020
gltX	EG10407
ynfR	G0-16743
znuC	G7018
ykiD	G0-16727
hemN	EG11836
yjeV	G0-10642
hemG	EG11485
yahH	G0-10550
hemD	EG10430
yccJ	EG12703
hemA	EG10427
yiaT	EG12288
ubiV	G7653
yeiQ	EG12036
ispG	EG10370
yeiH	EG12027
ubiK	G7582
ybbC	EG11769
ubiD	EG11396
yjgM	G7886
menI	G6912
mbiA	EG11509
dxr	EG12715
yhdV	G7695
ispE	EG11294
yghT	G7552
ispA	EG10508
ygeO	G7479
ubiT	G7651
ypjC	G7385
ispD	G7423
yfcH	G7196
ubiC	EG11369
yodB	G7062
dxs	G6237
ydjH	G6959
ispH	EG11081
ydgD	G6856
ispF	EG11816
ynbD	G6730
ubiU	G7652
ymgA	G6605
ubiJ	EG11474
ybjH	G6441
ispB	EG10017
yahC	G6182
idi	G7508
ypfM	G0-8888
ubiF	G6365
yqiM	G0-17033
ubiI	EG11333
pdeA	EG11145
menH	EG12438
ychT	G0-17017
gshA	EG10418
yddY	G0-16740
gshB	EG10419
ykgV	G0-16724
bioF	EG10121
ytcA	G0-10608
bioB	EG10118
yjjZ	G0-10474
mioC	EG11199
yabQ	EG12611
bioH	EG10122
bcsG	EG12265
bioC	EG10119
yehQ	EG12003
ynfK	G6851
yciK	EG11759
birA	EG10123
yjgH	G7879
bioD	EG10120
yjaZ	EG11429
bioA	EG10117
yhcF	G7673
cmk	EG11265
yghG	G7538
umpH	EG10634
yqeK	G7469
pyrB	EG10805
yphC	G7339
pyrG	EG10810
yfbO	G7181
prs	EG10774
dsrB	G7045
gmk	EG10965
ydjY	G6946
adk	EG10032
yneL	G6796
purU	EG11819
ydbH	G6703
ndk	EG10650
ycfZ	G6578
pyrI	EG10811
ybhJ	G6401
pyrD	EG10807
ykgL	G6166
yfbR	G7185
ykiE	G0-17047
pyrL	EG11279
yqgG	G0-17030
pyrE	EG10808
yacC	EG11089
psuK	EG11646
ybgV	G0-17014
pyrF	EG10809
ymjE	G0-16737
pyrC	EG10806
yabR	G0-16721
purF	EG10794
yrhD	G0-10603
purC	EG10791
ypfN	G0-10463
guaA	EG10420
yfiL	EG12446
purB	EG11314
yhiN	EG12229
purM	EG10798
wbbJ	EG11984
purH	EG10795
